MAG_species_name_final	MAG_species_Name_in_analysis	cluster
Gilliamella sp019469205	g__Gilliamella_88_1	88_1
Gilliamella apicola_E	g__Gilliamella_89_1	89_1
Gilliamella apicola_Q	g__Gilliamella_90_1	90_1
Gilliamella apis	g__Gilliamella_91_1	91_1
Gilliamella apis_A	g__Gilliamella_91_2	91_2
Hafnia paralvei	g__Hafnia_107_0	107_0
JAATFO01 SGB-106_0	g__JAATFO01_106_0	106_0
KAACC-21507 SGB-14_0	g__KACC-21507_14_0	14_0
Klebsiella pneumoniae	g__Klebsiella_99_1	99_1
Kosakonia oryzae	g__Kosakonia_103_0	103_0
Lactobacillus SGB-23_1	g__Lactobacillus_23_1	23_1
Lactobacillus huangpiensis	g__Lactobacillus_24_1	24_1
Lactobacillus sp016100975	g__Lactobacillus_24_2	24_2
Lactobacillus laiwuensis	g__Lactobacillus_24_3	24_3
Lactobacillus kimbladii_A	g__Lactobacillus_24_4	24_4
Lactobacillus helsingborgensis	g__Lactobacillus_25_1	25_1
Lactobacillus sp945290125	g__Lactobacillus_26_1	26_1
Lactobacillus melliventris	g__Lactobacillus_26_2	26_2
Lactobacillus apis	g__Lactobacillus_27_1	27_1
Lactobacillus SGB-28_1	g__Lactobacillus_28_1	28_1
Lactobacillus SGB-29_1	g__Lactobacillus_29_1	29_1
Lactobacillus SGB-29_2	g__Lactobacillus_29_2	29_2
Lactobacillus SGB-30_0	g__Lactobacillus_30_0	30_0
Lactobacillus SGB-31_1	g__Lactobacillus_31_1	31_1
Lactobacillus SGB-32_1	g__Lactobacillus_32_1	32_1
Lactobacillus panisapium	g__Lactobacillus_32_2	32_2
Lactobacillus SGB-33_1	g__Lactobacillus_33_1	33_1
Lactobacillus SGB-34_1	g__Lactobacillus_34_1	34_1
Melissococcus plutonius	g__Melissococcus_71_1	71_1
Pantoea dispersa	g__Pantoea_96_1	96_1
Pantoea vagans	g__Pantoea_97_0	97_0
Parolsenella SGB-60_1	g__Parolsenella_60_1	60_1
Pectinatus SGB-54_1	g__Pectinatus_54_1	54_1
Pluralibacter SGB-98_1	g__Pluralibacter_98_1	98_1
Q3-R57-64 SGB-48_1	g__Q3-R57-64_48_1	48_1
Rosenbergiella epipactidis	g__Rosenbergiella_108_0	108_0
Saezia SGB-47_1	g__Saezia_47_1	47_1
Saezia SGB-49_1	g__Saezia_49_1	49_1
Snodgrassella alvi	g__Snodgrassella_55_1	55_1
Snodgrassella alvi_E	g__Snodgrassella_56_1	56_1
Snodgrassella SGB-56_2	g__Snodgrassella_56_2	56_2
Snodgrassella sp945267035	g__Snodgrassella_57_1	57_1
Snodgrassella SGB-58_1	g__Snodgrassella_58_1	58_1
Snodgrassella alvi_G	g__Snodgrassella_59_1	59_1
Spiroplasma melliferum	g__Spiroplasma_21_1	21_1
WRHT01 SGB-1_1	g__WRHT01_1_1	1_1
Zymobacter SGB-42_0	g__Zymobacter_42_0	42_0
Zymobacter SGB-43_0	g__Zymobacter_43_0	43_0
Zymobacter SGB-44_0	g__Zymobacter_44_0	44_0
Zymobacter SGB-110_0	g__Zymomonas_110_0	110_0
