gnl|Prokka|MAG_C1.1_13_73	MAG_C1.1_13
gnl|Prokka|MAG_C1.1_13_74	MAG_C1.1_13
gnl|Prokka|MAG_C1.1_13_75	MAG_C1.1_13
gnl|Prokka|MAG_C1.1_13_76	MAG_C1.1_13
gnl|Prokka|MAG_C1.1_13_77	MAG_C1.1_13
gnl|Prokka|MAG_C1.1_13_78	MAG_C1.1_13
gnl|Prokka|MAG_C1.1_13_79	MAG_C1.1_13
gnl|Prokka|MAG_C1.1_13_80	MAG_C1.1_13
gnl|Prokka|MAG_C1.1_13_81	MAG_C1.1_13
gnl|Prokka|MAG_C1.1_13_82	MAG_C1.1_13
gnl|Prokka|MAG_C1.1_13_83	MAG_C1.1_13
gnl|Prokka|MAG_C1.1_13_84	MAG_C1.1_13
gnl|Prokka|MAG_C1.1_13_85	MAG_C1.1_13
gnl|Prokka|MAG_C1.1_13_86	MAG_C1.1_13
gnl|Prokka|MAG_C1.1_13_87	MAG_C1.1_13
gnl|Prokka|MAG_C1.1_13_88	MAG_C1.1_13
gnl|Prokka|MAG_C1.1_13_89	MAG_C1.1_13
gnl|Prokka|MAG_C1.1_13_90	MAG_C1.1_13
gnl|Prokka|MAG_C1.1_13_91	MAG_C1.1_13
gnl|Prokka|MAG_C1.1_13_92	MAG_C1.1_13
gnl|Prokka|MAG_C1.1_13_93	MAG_C1.1_13
gnl|Prokka|MAG_C1.1_13_94	MAG_C1.1_13
gnl|Prokka|MAG_C1.1_13_95	MAG_C1.1_13
gnl|Prokka|MAG_C1.1_13_96	MAG_C1.1_13
gnl|Prokka|MAG_C1.1_13_97	MAG_C1.1_13
gnl|Prokka|MAG_C1.1_13_98	MAG_C1.1_13
gnl|Prokka|MAG_C1.1_13_99	MAG_C1.1_13
gnl|Prokka|MAG_C1.1_13_100	MAG_C1.1_13
gnl|Prokka|MAG_C1.1_13_101	MAG_C1.1_13
gnl|Prokka|MAG_C1.1_13_102	MAG_C1.1_13
gnl|Prokka|MAG_C1.1_13_103	MAG_C1.1_13
gnl|Prokka|MAG_C1.1_13_104	MAG_C1.1_13
gnl|Prokka|MAG_C1.1_13_105	MAG_C1.1_13
gnl|Prokka|MAG_C1.1_13_106	MAG_C1.1_13
gnl|Prokka|MAG_C1.1_13_107	MAG_C1.1_13
gnl|Prokka|MAG_C1.1_13_108	MAG_C1.1_13
gnl|Prokka|MAG_C1.1_13_109	MAG_C1.1_13
gnl|Prokka|MAG_C1.1_13_110	MAG_C1.1_13
gnl|Prokka|MAG_C1.1_13_111	MAG_C1.1_13
gnl|Prokka|MAG_C1.1_13_112	MAG_C1.1_13
gnl|Prokka|MAG_C1.1_13_113	MAG_C1.1_13
