libraryName	laneNb	pipelineVersion	laneYield	clustersPF	percentPFClusters	percentQ30PF	meanScorePF	DirectoryLocation
D4-3	2	2.2	1,608	5,325,550	100	91.13	35.45	/nas/FAC/FBM/DMF/pengel/general_data/D2c/datasets/NGS_data/20230227_HGMH3DMXY_Malaysia_samples_run2/RawData
D6-4	2	2.2	990	3,278,703	100	90.43	35.33	/nas/FAC/FBM/DMF/pengel/general_data/D2c/datasets/NGS_data/20230227_HGMH3DMXY_Malaysia_samples_run2/RawData
D6-3	2	2.2	2,110	6,988,369	100	90	35.24	/nas/FAC/FBM/DMF/pengel/general_data/D2c/datasets/NGS_data/20230227_HGMH3DMXY_Malaysia_samples_run2/RawData
D6-1	2	2.2	486	1,607,922	100	91.53	35.54	/nas/FAC/FBM/DMF/pengel/general_data/D2c/datasets/NGS_data/20230227_HGMH3DMXY_Malaysia_samples_run2/RawData
D5-5	2	2.2	1,219	4,035,793	100	90.76	35.37	/nas/FAC/FBM/DMF/pengel/general_data/D2c/datasets/NGS_data/20230227_HGMH3DMXY_Malaysia_samples_run2/RawData
D5-4	2	2.2	1,640	5,431,269	100	91.1	35.44	/nas/FAC/FBM/DMF/pengel/general_data/D2c/datasets/NGS_data/20230227_HGMH3DMXY_Malaysia_samples_run2/RawData
C9-5	2	2.2	1,674	5,544,700	100	90.05	35.25	/nas/FAC/FBM/DMF/pengel/general_data/D2c/datasets/NGS_data/20230227_HGMH3DMXY_Malaysia_samples_run2/RawData
C9-4	2	2.2	1,972	6,529,421	100	90.07	35.25	/nas/FAC/FBM/DMF/pengel/general_data/D2c/datasets/NGS_data/20230227_HGMH3DMXY_Malaysia_samples_run2/RawData
C9-3	2	2.2	2,483	8,222,008	100	90.39	35.31	/nas/FAC/FBM/DMF/pengel/general_data/D2c/datasets/NGS_data/20230227_HGMH3DMXY_Malaysia_samples_run2/RawData
C8-2	2	2.2	1,651	5,468,331	100	90.6	35.36	/nas/FAC/FBM/DMF/pengel/general_data/D2c/datasets/NGS_data/20230227_HGMH3DMXY_Malaysia_samples_run2/RawData
C8-1	2	2.2	2,775	9,187,764	100	90.04	35.25	/nas/FAC/FBM/DMF/pengel/general_data/D2c/datasets/NGS_data/20230227_HGMH3DMXY_Malaysia_samples_run2/RawData
C7-5	2	2.2	754	2,496,283	100	91.32	35.49	/nas/FAC/FBM/DMF/pengel/general_data/D2c/datasets/NGS_data/20230227_HGMH3DMXY_Malaysia_samples_run2/RawData
