libraryName	laneNb	pipelineVersion	laneYield	clustersPF	percentPFClusters	percentQ30PF	meanScorePF	DirectoryLocation
M5-3	2	2.2	0	68	100	88.98	35.02	/nas/FAC/FBM/DMF/pengel/general_data/D2c/datasets/NGS_data/20230227_HGMH3DMXY_Malaysia_samples_run2/RawData
M5-2	2	2.2	0	77	100	90.74	35.37	/nas/FAC/FBM/DMF/pengel/general_data/D2c/datasets/NGS_data/20230227_HGMH3DMXY_Malaysia_samples_run2/RawData
M5-1	2	2.2	0	0				/nas/FAC/FBM/DMF/pengel/general_data/D2c/datasets/NGS_data/20230227_HGMH3DMXY_Malaysia_samples_run2/RawData
M4-3	2	2.2	827	2,738,014	100	91.18	35.48	/nas/FAC/FBM/DMF/pengel/general_data/D2c/datasets/NGS_data/20230227_HGMH3DMXY_Malaysia_samples_run2/RawData
M4-2	2	2.2	0	0				/nas/FAC/FBM/DMF/pengel/general_data/D2c/datasets/NGS_data/20230227_HGMH3DMXY_Malaysia_samples_run2/RawData
M3-5	2	2.2	1,122	3,716,815	100	90.45	35.34	/nas/FAC/FBM/DMF/pengel/general_data/D2c/datasets/NGS_data/20230227_HGMH3DMXY_Malaysia_samples_run2/RawData
D9-5	2	2.2	11,561	38,280,315	100	88.56	34.95	/nas/FAC/FBM/DMF/pengel/general_data/D2c/datasets/NGS_data/20230227_HGMH3DMXY_Malaysia_samples_run2/RawData
D9-4	2	2.2	1,341	4,440,576	100	89.66	35.19	/nas/FAC/FBM/DMF/pengel/general_data/D2c/datasets/NGS_data/20230227_HGMH3DMXY_Malaysia_samples_run2/RawData
D9-3	2	2.2	4,905	16,242,534	100	89.99	35.22	/nas/FAC/FBM/DMF/pengel/general_data/D2c/datasets/NGS_data/20230227_HGMH3DMXY_Malaysia_samples_run2/RawData
D9-1	2	2.2	594	1,966,746	100	88.59	34.97	/nas/FAC/FBM/DMF/pengel/general_data/D2c/datasets/NGS_data/20230227_HGMH3DMXY_Malaysia_samples_run2/RawData
D8-4	2	2.2	315	1,043,633	100	90.27	35.29	/nas/FAC/FBM/DMF/pengel/general_data/D2c/datasets/NGS_data/20230227_HGMH3DMXY_Malaysia_samples_run2/RawData
D8-3	2	2.2	247	816,266	100	90.58	35.36	/nas/FAC/FBM/DMF/pengel/general_data/D2c/datasets/NGS_data/20230227_HGMH3DMXY_Malaysia_samples_run2/RawData
D8-2	2	2.2	565	1,871,917	100	89.84	35.22	/nas/FAC/FBM/DMF/pengel/general_data/D2c/datasets/NGS_data/20230227_HGMH3DMXY_Malaysia_samples_run2/RawData
D8-1	2	2.2	796	2,637,124	100	90.42	35.33	/nas/FAC/FBM/DMF/pengel/general_data/D2c/datasets/NGS_data/20230227_HGMH3DMXY_Malaysia_samples_run2/RawData
D7-5	2	2.2	220	727,427	100	90.83	35.4	/nas/FAC/FBM/DMF/pengel/general_data/D2c/datasets/NGS_data/20230227_HGMH3DMXY_Malaysia_samples_run2/RawData
D7-4	2	2.2	1,248	4,131,786	100	90.73	35.37	/nas/FAC/FBM/DMF/pengel/general_data/D2c/datasets/NGS_data/20230227_HGMH3DMXY_Malaysia_samples_run2/RawData
D7-3	2	2.2	310	1,027,023	100	90.76	35.38	/nas/FAC/FBM/DMF/pengel/general_data/D2c/datasets/NGS_data/20230227_HGMH3DMXY_Malaysia_samples_run2/RawData
D7-2	2	2.2	252	834,974	100	90	35.24	/nas/FAC/FBM/DMF/pengel/general_data/D2c/datasets/NGS_data/20230227_HGMH3DMXY_Malaysia_samples_run2/RawData
A6-5	1	2.2	4,834	16,007,115	100	89.55	35.06	/nas/FAC/FBM/DMF/pengel/general_data/D2c/datasets/NGS_data/20230227_HGMH3DMXY_Malaysia_samples_run2/RawData
A6-2	1	2.2	12,624	41,802,848	100	88.55	34.88	/nas/FAC/FBM/DMF/pengel/general_data/D2c/datasets/NGS_data/20230227_HGMH3DMXY_Malaysia_samples_run2/RawData
A4-5	1	2.2	0	0				/nas/FAC/FBM/DMF/pengel/general_data/D2c/datasets/NGS_data/20230227_HGMH3DMXY_Malaysia_samples_run2/RawData
F9-3	1	2.2	4,411	14,604,479	100	88.69	34.92	/nas/FAC/FBM/DMF/pengel/general_data/D2c/datasets/NGS_data/20230227_HGMH3DMXY_Malaysia_samples_run2/RawData
F7-5	1	2.2	20,035	66,342,039	100	88.77	34.9	/nas/FAC/FBM/DMF/pengel/general_data/D2c/datasets/NGS_data/20230227_HGMH3DMXY_Malaysia_samples_run2/RawData
F7-2	1	2.2	10,282	34,047,742	100	88.37	34.77	/nas/FAC/FBM/DMF/pengel/general_data/D2c/datasets/NGS_data/20230227_HGMH3DMXY_Malaysia_samples_run2/RawData
F6-5	1	2.2	15,806	52,337,442	100	89.09	34.97	/nas/FAC/FBM/DMF/pengel/general_data/D2c/datasets/NGS_data/20230227_HGMH3DMXY_Malaysia_samples_run2/RawData
F6-3	1	2.2	18,819	62,313,403	100	88.11	34.79	/nas/FAC/FBM/DMF/pengel/general_data/D2c/datasets/NGS_data/20230227_HGMH3DMXY_Malaysia_samples_run2/RawData
F5-5	1	2.2	8,965	29,686,812	100	90.45	35.27	/nas/FAC/FBM/DMF/pengel/general_data/D2c/datasets/NGS_data/20230227_HGMH3DMXY_Malaysia_samples_run2/RawData
F5-2	1	2.2	8,860	29,338,737	100	89.71	35.09	/nas/FAC/FBM/DMF/pengel/general_data/D2c/datasets/NGS_data/20230227_HGMH3DMXY_Malaysia_samples_run2/RawData
C6-3	1	2.2	5,541	18,346,038	100	90.23	35.28	/nas/FAC/FBM/DMF/pengel/general_data/D2c/datasets/NGS_data/20230227_HGMH3DMXY_Malaysia_samples_run2/RawData
M4-5	1	2.2	3,952	13,086,213	100	90.86	35.36	/nas/FAC/FBM/DMF/pengel/general_data/D2c/datasets/NGS_data/20230227_HGMH3DMXY_Malaysia_samples_run2/RawData
A6-4	1	2.2	10,989	36,388,494	100	88.9	34.99	/nas/FAC/FBM/DMF/pengel/general_data/D2c/datasets/NGS_data/20230227_HGMH3DMXY_Malaysia_samples_run2/RawData
A6-3	1	2.2	6,006	19,886,316	100	89.26	35.06	/nas/FAC/FBM/DMF/pengel/general_data/D2c/datasets/NGS_data/20230227_HGMH3DMXY_Malaysia_samples_run2/RawData
A5-5	1	2.2	6,146	20,352,265	100	89.82	35.18	/nas/FAC/FBM/DMF/pengel/general_data/D2c/datasets/NGS_data/20230227_HGMH3DMXY_Malaysia_samples_run2/RawData
A5-3	1	2.2	1,479	4,896,530	100	90.55	35.33	/nas/FAC/FBM/DMF/pengel/general_data/D2c/datasets/NGS_data/20230227_HGMH3DMXY_Malaysia_samples_run2/RawData
A4-3	1	2.2	3,084	10,211,688	100	89.1	35.04	/nas/FAC/FBM/DMF/pengel/general_data/D2c/datasets/NGS_data/20230227_HGMH3DMXY_Malaysia_samples_run2/RawData
A3-4	1	2.2	8,127	26,911,140	100	88.52	34.93	/nas/FAC/FBM/DMF/pengel/general_data/D2c/datasets/NGS_data/20230227_HGMH3DMXY_Malaysia_samples_run2/RawData
A2-5	1	2.2	2,677	8,865,204	100	89.55	35.15	/nas/FAC/FBM/DMF/pengel/general_data/D2c/datasets/NGS_data/20230227_HGMH3DMXY_Malaysia_samples_run2/RawData
A2-4	1	2.2	5,927	19,626,509	100	89.82	35.18	/nas/FAC/FBM/DMF/pengel/general_data/D2c/datasets/NGS_data/20230227_HGMH3DMXY_Malaysia_samples_run2/RawData
A1-5	1	2.2	4,411	14,606,214	100	89.59	35.13	/nas/FAC/FBM/DMF/pengel/general_data/D2c/datasets/NGS_data/20230227_HGMH3DMXY_Malaysia_samples_run2/RawData
A1-4	1	2.2	2,755	9,121,091	100	89.4	35.1	/nas/FAC/FBM/DMF/pengel/general_data/D2c/datasets/NGS_data/20230227_HGMH3DMXY_Malaysia_samples_run2/RawData
F9-1	1	2.2	1,030	3,409,669	100	90.51	35.33	/nas/FAC/FBM/DMF/pengel/general_data/D2c/datasets/NGS_data/20230227_HGMH3DMXY_Malaysia_samples_run2/RawData
F8-5	1	2.2	2,546	8,430,628	100	89.77	35.18	/nas/FAC/FBM/DMF/pengel/general_data/D2c/datasets/NGS_data/20230227_HGMH3DMXY_Malaysia_samples_run2/RawData
F8-3	1	2.2	4,175	13,823,541	100	89.41	35.09	/nas/FAC/FBM/DMF/pengel/general_data/D2c/datasets/NGS_data/20230227_HGMH3DMXY_Malaysia_samples_run2/RawData
F8-1	1	2.2	2,703	8,948,739	100	89.29	35.1	/nas/FAC/FBM/DMF/pengel/general_data/D2c/datasets/NGS_data/20230227_HGMH3DMXY_Malaysia_samples_run2/RawData
F7-1	1	2.2	1,630	5,396,247	100	89.53	35.12	/nas/FAC/FBM/DMF/pengel/general_data/D2c/datasets/NGS_data/20230227_HGMH3DMXY_Malaysia_samples_run2/RawData
F4-5	1	2.2	4,082	13,517,505	100	88.55	34.94	/nas/FAC/FBM/DMF/pengel/general_data/D2c/datasets/NGS_data/20230227_HGMH3DMXY_Malaysia_samples_run2/RawData
F4-3	1	2.2	6,255	20,711,916	100	89.01	35.01	/nas/FAC/FBM/DMF/pengel/general_data/D2c/datasets/NGS_data/20230227_HGMH3DMXY_Malaysia_samples_run2/RawData
D9-2	1	2.2	1,718	5,688,840	100	90.48	35.33	/nas/FAC/FBM/DMF/pengel/general_data/D2c/datasets/NGS_data/20230227_HGMH3DMXY_Malaysia_samples_run2/RawData
D8-5	1	2.2	1,202	3,979,586	100	89.59	35.17	/nas/FAC/FBM/DMF/pengel/general_data/D2c/datasets/NGS_data/20230227_HGMH3DMXY_Malaysia_samples_run2/RawData
D4-3	1	2.2	1,612	5,336,808	100	91.18	35.46	/nas/FAC/FBM/DMF/pengel/general_data/D2c/datasets/NGS_data/20230227_HGMH3DMXY_Malaysia_samples_run2/RawData
D6-4	1	2.2	993	3,287,471	100	90.48	35.34	/nas/FAC/FBM/DMF/pengel/general_data/D2c/datasets/NGS_data/20230227_HGMH3DMXY_Malaysia_samples_run2/RawData
D6-3	1	2.2	2,118	7,013,680	100	90.07	35.25	/nas/FAC/FBM/DMF/pengel/general_data/D2c/datasets/NGS_data/20230227_HGMH3DMXY_Malaysia_samples_run2/RawData
D6-1	1	2.2	487	1,611,199	100	91.56	35.55	/nas/FAC/FBM/DMF/pengel/general_data/D2c/datasets/NGS_data/20230227_HGMH3DMXY_Malaysia_samples_run2/RawData
D5-5	1	2.2	1,222	4,044,789	100	90.82	35.39	/nas/FAC/FBM/DMF/pengel/general_data/D2c/datasets/NGS_data/20230227_HGMH3DMXY_Malaysia_samples_run2/RawData
D5-4	1	2.2	1,643	5,440,455	100	91.17	35.45	/nas/FAC/FBM/DMF/pengel/general_data/D2c/datasets/NGS_data/20230227_HGMH3DMXY_Malaysia_samples_run2/RawData
C9-5	1	2.2	1,677	5,554,121	100	90.08	35.25	/nas/FAC/FBM/DMF/pengel/general_data/D2c/datasets/NGS_data/20230227_HGMH3DMXY_Malaysia_samples_run2/RawData
C9-4	1	2.2	1,979	6,552,000	100	90.09	35.26	/nas/FAC/FBM/DMF/pengel/general_data/D2c/datasets/NGS_data/20230227_HGMH3DMXY_Malaysia_samples_run2/RawData
C9-3	1	2.2	2,490	8,245,708	100	90.44	35.32	/nas/FAC/FBM/DMF/pengel/general_data/D2c/datasets/NGS_data/20230227_HGMH3DMXY_Malaysia_samples_run2/RawData
C8-2	1	2.2	1,654	5,477,777	100	90.64	35.37	/nas/FAC/FBM/DMF/pengel/general_data/D2c/datasets/NGS_data/20230227_HGMH3DMXY_Malaysia_samples_run2/RawData
C8-1	1	2.2	2,785	9,220,552	100	90.1	35.26	/nas/FAC/FBM/DMF/pengel/general_data/D2c/datasets/NGS_data/20230227_HGMH3DMXY_Malaysia_samples_run2/RawData
C7-5	1	2.2	756	2,503,428	100	91.37	35.5	/nas/FAC/FBM/DMF/pengel/general_data/D2c/datasets/NGS_data/20230227_HGMH3DMXY_Malaysia_samples_run2/RawData
C7-3	1	2.2	0	0				/nas/FAC/FBM/DMF/pengel/general_data/D2c/datasets/NGS_data/20230227_HGMH3DMXY_Malaysia_samples_run2/RawData
C6-2	1	2.2	3,164	10,477,731	100	90.19	35.27	/nas/FAC/FBM/DMF/pengel/general_data/D2c/datasets/NGS_data/20230227_HGMH3DMXY_Malaysia_samples_run2/RawData
C6-1	1	2.2	0	0				/nas/FAC/FBM/DMF/pengel/general_data/D2c/datasets/NGS_data/20230227_HGMH3DMXY_Malaysia_samples_run2/RawData
C5-5	1	2.2	1,034	3,424,842	100	90.5	35.34	/nas/FAC/FBM/DMF/pengel/general_data/D2c/datasets/NGS_data/20230227_HGMH3DMXY_Malaysia_samples_run2/RawData
C5-4	1	2.2	1,924	6,369,655	100	90.92	35.41	/nas/FAC/FBM/DMF/pengel/general_data/D2c/datasets/NGS_data/20230227_HGMH3DMXY_Malaysia_samples_run2/RawData
C5-3	1	2.2	1,518	5,028,007	100	89.74	35.22	/nas/FAC/FBM/DMF/pengel/general_data/D2c/datasets/NGS_data/20230227_HGMH3DMXY_Malaysia_samples_run2/RawData
C4-5	1	2.2	1,717	5,684,541	100	90.18	35.28	/nas/FAC/FBM/DMF/pengel/general_data/D2c/datasets/NGS_data/20230227_HGMH3DMXY_Malaysia_samples_run2/RawData
C4-4	1	2.2	2,196	7,271,149	100	90.05	35.27	/nas/FAC/FBM/DMF/pengel/general_data/D2c/datasets/NGS_data/20230227_HGMH3DMXY_Malaysia_samples_run2/RawData
M6-5	1	2.2	376	1,243,904	100	90.88	35.42	/nas/FAC/FBM/DMF/pengel/general_data/D2c/datasets/NGS_data/20230227_HGMH3DMXY_Malaysia_samples_run2/RawData
M5-4	1	2.2	554	1,835,885	100	89.86	35.25	/nas/FAC/FBM/DMF/pengel/general_data/D2c/datasets/NGS_data/20230227_HGMH3DMXY_Malaysia_samples_run2/RawData
M4-4	1	2.2	0	1	100	95.7	36.44	/nas/FAC/FBM/DMF/pengel/general_data/D2c/datasets/NGS_data/20230227_HGMH3DMXY_Malaysia_samples_run2/RawData
M4-1	1	2.2	898	2,973,857	100	91.09	35.45	/nas/FAC/FBM/DMF/pengel/general_data/D2c/datasets/NGS_data/20230227_HGMH3DMXY_Malaysia_samples_run2/RawData
M3-4	1	2.2	1,240	4,105,045	100	92.12	35.66	/nas/FAC/FBM/DMF/pengel/general_data/D2c/datasets/NGS_data/20230227_HGMH3DMXY_Malaysia_samples_run2/RawData
A4-1	1	2.2	5,816	19,257,195	100	90.15	35.23	/nas/FAC/FBM/DMF/pengel/general_data/D2c/datasets/NGS_data/20230227_HGMH3DMXY_Malaysia_samples_run2/RawData
A3-5	1	2.2	5,661	18,745,806	100	88.47	34.94	/nas/FAC/FBM/DMF/pengel/general_data/D2c/datasets/NGS_data/20230227_HGMH3DMXY_Malaysia_samples_run2/RawData
A3-3	1	2.2	10,871	35,996,311	100	85.69	34.41	/nas/FAC/FBM/DMF/pengel/general_data/D2c/datasets/NGS_data/20230227_HGMH3DMXY_Malaysia_samples_run2/RawData
A3-2	1	2.2	7,166	23,727,777	100	88.6	34.93	/nas/FAC/FBM/DMF/pengel/general_data/D2c/datasets/NGS_data/20230227_HGMH3DMXY_Malaysia_samples_run2/RawData
A3-1	1	2.2	11,138	36,881,134	100	88.7	34.94	/nas/FAC/FBM/DMF/pengel/general_data/D2c/datasets/NGS_data/20230227_HGMH3DMXY_Malaysia_samples_run2/RawData
C9-2	1	2.2	5,458	18,071,499	100	90.4	35.3	/nas/FAC/FBM/DMF/pengel/general_data/D2c/datasets/NGS_data/20230227_HGMH3DMXY_Malaysia_samples_run2/RawData
C8-5	1	2.2	3,972	13,151,891	100	88.59	34.96	/nas/FAC/FBM/DMF/pengel/general_data/D2c/datasets/NGS_data/20230227_HGMH3DMXY_Malaysia_samples_run2/RawData
F9-4	1	2.2	4,904	16,236,775	100	89.48	35.09	/nas/FAC/FBM/DMF/pengel/general_data/D2c/datasets/NGS_data/20230227_HGMH3DMXY_Malaysia_samples_run2/RawData
F9-2	1	2.2	2,755	9,121,485	100	88.99	35.06	/nas/FAC/FBM/DMF/pengel/general_data/D2c/datasets/NGS_data/20230227_HGMH3DMXY_Malaysia_samples_run2/RawData
A2-3	1	2.2	12,491	41,359,353	100	88.58	34.92	/nas/FAC/FBM/DMF/pengel/general_data/D2c/datasets/NGS_data/20230227_HGMH3DMXY_Malaysia_samples_run2/RawData
A2-2	1	2.2	16,776	55,549,608	100	88.39	34.89	/nas/FAC/FBM/DMF/pengel/general_data/D2c/datasets/NGS_data/20230227_HGMH3DMXY_Malaysia_samples_run2/RawData
A1-3	1	2.2	7,383	24,445,734	100	89.4	35.09	/nas/FAC/FBM/DMF/pengel/general_data/D2c/datasets/NGS_data/20230227_HGMH3DMXY_Malaysia_samples_run2/RawData
A1-2	1	2.2	4,631	15,335,765	100	89.64	35.12	/nas/FAC/FBM/DMF/pengel/general_data/D2c/datasets/NGS_data/20230227_HGMH3DMXY_Malaysia_samples_run2/RawData
A1-1	1	2.2	8,625	28,559,142	100	88.6	34.89	/nas/FAC/FBM/DMF/pengel/general_data/D2c/datasets/NGS_data/20230227_HGMH3DMXY_Malaysia_samples_run2/RawData
A5-4	1	2.2	4,667	15,452,544	100	87.77	34.78	/nas/FAC/FBM/DMF/pengel/general_data/D2c/datasets/NGS_data/20230227_HGMH3DMXY_Malaysia_samples_run2/RawData
A5-1	1	2.2	8,649	28,638,955	100	88.5	34.92	/nas/FAC/FBM/DMF/pengel/general_data/D2c/datasets/NGS_data/20230227_HGMH3DMXY_Malaysia_samples_run2/RawData
A4-4	1	2.2	17,404	57,629,542	100	88.6	34.94	/nas/FAC/FBM/DMF/pengel/general_data/D2c/datasets/NGS_data/20230227_HGMH3DMXY_Malaysia_samples_run2/RawData
A4-2	1	2.2	7,867	26,050,436	100	87.39	34.73	/nas/FAC/FBM/DMF/pengel/general_data/D2c/datasets/NGS_data/20230227_HGMH3DMXY_Malaysia_samples_run2/RawData
F6-4	1	2.2	1,245	4,122,190	100	89.7	35.2	/nas/FAC/FBM/DMF/pengel/general_data/D2c/datasets/NGS_data/20230227_HGMH3DMXY_Malaysia_samples_run2/RawData
F6-2	1	2.2	2,287	7,571,987	100	90.57	35.35	/nas/FAC/FBM/DMF/pengel/general_data/D2c/datasets/NGS_data/20230227_HGMH3DMXY_Malaysia_samples_run2/RawData
F6-1	1	2.2	0	0				/nas/FAC/FBM/DMF/pengel/general_data/D2c/datasets/NGS_data/20230227_HGMH3DMXY_Malaysia_samples_run2/RawData
F5-4	1	2.2	493	1,632,672	100	90.88	35.44	/nas/FAC/FBM/DMF/pengel/general_data/D2c/datasets/NGS_data/20230227_HGMH3DMXY_Malaysia_samples_run2/RawData
F8-2	1	2.2	11,336	37,537,744	100	88.09	34.85	/nas/FAC/FBM/DMF/pengel/general_data/D2c/datasets/NGS_data/20230227_HGMH3DMXY_Malaysia_samples_run2/RawData
F7-4	1	2.2	4,441	14,706,125	100	90.33	35.28	/nas/FAC/FBM/DMF/pengel/general_data/D2c/datasets/NGS_data/20230227_HGMH3DMXY_Malaysia_samples_run2/RawData
F7-3	1	2.2	3,989	13,209,385	100	89.33	35.07	/nas/FAC/FBM/DMF/pengel/general_data/D2c/datasets/NGS_data/20230227_HGMH3DMXY_Malaysia_samples_run2/RawData
F5-3	1	2.2	1,205	3,990,540	100	91.12	35.45	/nas/FAC/FBM/DMF/pengel/general_data/D2c/datasets/NGS_data/20230227_HGMH3DMXY_Malaysia_samples_run2/RawData
F5-1	1	2.2	0	0				/nas/FAC/FBM/DMF/pengel/general_data/D2c/datasets/NGS_data/20230227_HGMH3DMXY_Malaysia_samples_run2/RawData
F4-4	1	2.2	5,318	17,609,660	100	88.51	34.95	/nas/FAC/FBM/DMF/pengel/general_data/D2c/datasets/NGS_data/20230227_HGMH3DMXY_Malaysia_samples_run2/RawData
F4-2	1	2.2	4,391	14,540,875	100	90.24	35.26	/nas/FAC/FBM/DMF/pengel/general_data/D2c/datasets/NGS_data/20230227_HGMH3DMXY_Malaysia_samples_run2/RawData
F4-1	1	2.2	10,941	36,229,852	100	89.11	35.02	/nas/FAC/FBM/DMF/pengel/general_data/D2c/datasets/NGS_data/20230227_HGMH3DMXY_Malaysia_samples_run2/RawData
A6-1	1	2.2	5,607	18,565,131	100	89.83	35.17	/nas/FAC/FBM/DMF/pengel/general_data/D2c/datasets/NGS_data/20230227_HGMH3DMXY_Malaysia_samples_run2/RawData
C7-4	1	2.2	1,602	5,305,212	100	89.16	35.12	/nas/FAC/FBM/DMF/pengel/general_data/D2c/datasets/NGS_data/20230227_HGMH3DMXY_Malaysia_samples_run2/RawData
C7-2	1	2.2	2,387	7,903,191	100	90.48	35.34	/nas/FAC/FBM/DMF/pengel/general_data/D2c/datasets/NGS_data/20230227_HGMH3DMXY_Malaysia_samples_run2/RawData
C7-1	1	2.2	0	0				/nas/FAC/FBM/DMF/pengel/general_data/D2c/datasets/NGS_data/20230227_HGMH3DMXY_Malaysia_samples_run2/RawData
C4-3	1	2.2	2,378	7,874,294	100	90.42	35.32	/nas/FAC/FBM/DMF/pengel/general_data/D2c/datasets/NGS_data/20230227_HGMH3DMXY_Malaysia_samples_run2/RawData
C4-1	1	2.2	879	2,911,053	100	90.21	35.28	/nas/FAC/FBM/DMF/pengel/general_data/D2c/datasets/NGS_data/20230227_HGMH3DMXY_Malaysia_samples_run2/RawData
M2-5	1	2.2	759	2,512,012	100	91.7	35.57	/nas/FAC/FBM/DMF/pengel/general_data/D2c/datasets/NGS_data/20230227_HGMH3DMXY_Malaysia_samples_run2/RawData
M2-4	1	2.2	764	2,530,241	100	91.38	35.5	/nas/FAC/FBM/DMF/pengel/general_data/D2c/datasets/NGS_data/20230227_HGMH3DMXY_Malaysia_samples_run2/RawData
D7-1	1	2.2	623	2,062,804	100	90.64	35.37	/nas/FAC/FBM/DMF/pengel/general_data/D2c/datasets/NGS_data/20230227_HGMH3DMXY_Malaysia_samples_run2/RawData
D6-5	1	2.2	1,333	4,413,079	100	91.19	35.47	/nas/FAC/FBM/DMF/pengel/general_data/D2c/datasets/NGS_data/20230227_HGMH3DMXY_Malaysia_samples_run2/RawData
D6-2	1	2.2	100	332,401	100	90.25	35.3	/nas/FAC/FBM/DMF/pengel/general_data/D2c/datasets/NGS_data/20230227_HGMH3DMXY_Malaysia_samples_run2/RawData
C9-1	1	2.2	1,559	5,162,572	100	90.03	35.26	/nas/FAC/FBM/DMF/pengel/general_data/D2c/datasets/NGS_data/20230227_HGMH3DMXY_Malaysia_samples_run2/RawData
A5-2	1	2.2	3,529	11,684,947	100	88.67	34.96	/nas/FAC/FBM/DMF/pengel/general_data/D2c/datasets/NGS_data/20230227_HGMH3DMXY_Malaysia_samples_run2/RawData
A2-1	1	2.2	3,688	12,211,870	100	89.31	35.08	/nas/FAC/FBM/DMF/pengel/general_data/D2c/datasets/NGS_data/20230227_HGMH3DMXY_Malaysia_samples_run2/RawData
C6-5	1	2.2	1,515	5,016,967	100	90.1	35.26	/nas/FAC/FBM/DMF/pengel/general_data/D2c/datasets/NGS_data/20230227_HGMH3DMXY_Malaysia_samples_run2/RawData
C6-4	1	2.2	1,789	5,924,685	100	89.94	35.22	/nas/FAC/FBM/DMF/pengel/general_data/D2c/datasets/NGS_data/20230227_HGMH3DMXY_Malaysia_samples_run2/RawData
C5-2	1	2.2	1,246	4,126,240	100	90.41	35.32	/nas/FAC/FBM/DMF/pengel/general_data/D2c/datasets/NGS_data/20230227_HGMH3DMXY_Malaysia_samples_run2/RawData
C5-1	1	2.2	3,443	11,399,662	100	89.12	35.07	/nas/FAC/FBM/DMF/pengel/general_data/D2c/datasets/NGS_data/20230227_HGMH3DMXY_Malaysia_samples_run2/RawData
C4-2	1	2.2	1,022	3,384,786	100	89.73	35.18	/nas/FAC/FBM/DMF/pengel/general_data/D2c/datasets/NGS_data/20230227_HGMH3DMXY_Malaysia_samples_run2/RawData
M7-5	1	2.2	3,182	10,537,226	100	88.89	35.03	/nas/FAC/FBM/DMF/pengel/general_data/D2c/datasets/NGS_data/20230227_HGMH3DMXY_Malaysia_samples_run2/RawData
M7-4	1	2.2	1,193	3,951,352	100	87.68	34.84	/nas/FAC/FBM/DMF/pengel/general_data/D2c/datasets/NGS_data/20230227_HGMH3DMXY_Malaysia_samples_run2/RawData
M7-3	1	2.2	1,259	4,169,396	100	88.38	34.96	/nas/FAC/FBM/DMF/pengel/general_data/D2c/datasets/NGS_data/20230227_HGMH3DMXY_Malaysia_samples_run2/RawData
M7-2	1	2.2	1,913	6,334,379	100	90.42	35.32	/nas/FAC/FBM/DMF/pengel/general_data/D2c/datasets/NGS_data/20230227_HGMH3DMXY_Malaysia_samples_run2/RawData
M7-1	1	2.2	1,423	4,710,910	100	90.62	35.36	/nas/FAC/FBM/DMF/pengel/general_data/D2c/datasets/NGS_data/20230227_HGMH3DMXY_Malaysia_samples_run2/RawData
C8-4	1	2.2	1,248	4,133,132	100	90.09	35.25	/nas/FAC/FBM/DMF/pengel/general_data/D2c/datasets/NGS_data/20230227_HGMH3DMXY_Malaysia_samples_run2/RawData
C8-3	1	2.2	2,402	7,952,090	100	89.47	35.14	/nas/FAC/FBM/DMF/pengel/general_data/D2c/datasets/NGS_data/20230227_HGMH3DMXY_Malaysia_samples_run2/RawData
M3-3	1	2.2	1,982	6,561,321	100	90.24	35.33	/nas/FAC/FBM/DMF/pengel/general_data/D2c/datasets/NGS_data/20230227_HGMH3DMXY_Malaysia_samples_run2/RawData
M3-2	1	2.2	526	1,740,930	100	90.39	35.34	/nas/FAC/FBM/DMF/pengel/general_data/D2c/datasets/NGS_data/20230227_HGMH3DMXY_Malaysia_samples_run2/RawData
M3-1	1	2.2	0	86	100	89.38	35.03	/nas/FAC/FBM/DMF/pengel/general_data/D2c/datasets/NGS_data/20230227_HGMH3DMXY_Malaysia_samples_run2/RawData
M2-3	1	2.2	979	3,242,156	100	91.69	35.57	/nas/FAC/FBM/DMF/pengel/general_data/D2c/datasets/NGS_data/20230227_HGMH3DMXY_Malaysia_samples_run2/RawData
M2-2	1	2.2	621	2,056,058	100	90.82	35.41	/nas/FAC/FBM/DMF/pengel/general_data/D2c/datasets/NGS_data/20230227_HGMH3DMXY_Malaysia_samples_run2/RawData
M2-1	1	2.2	666	2,206,073	100	91.02	35.44	/nas/FAC/FBM/DMF/pengel/general_data/D2c/datasets/NGS_data/20230227_HGMH3DMXY_Malaysia_samples_run2/RawData
F9-5	1	2.2	5,938	19,660,713	100	88.36	34.89	/nas/FAC/FBM/DMF/pengel/general_data/D2c/datasets/NGS_data/20230227_HGMH3DMXY_Malaysia_samples_run2/RawData
D5-3	1	2.2	996	3,299,331	100	86.91	34.69	/nas/FAC/FBM/DMF/pengel/general_data/D2c/datasets/NGS_data/20230227_HGMH3DMXY_Malaysia_samples_run2/RawData
D5-2	1	2.2	791	2,619,044	100	90.36	35.32	/nas/FAC/FBM/DMF/pengel/general_data/D2c/datasets/NGS_data/20230227_HGMH3DMXY_Malaysia_samples_run2/RawData
D5-1	1	2.2	701	2,319,824	100	89.71	35.19	/nas/FAC/FBM/DMF/pengel/general_data/D2c/datasets/NGS_data/20230227_HGMH3DMXY_Malaysia_samples_run2/RawData
D4-5	1	2.2	848	2,807,854	100	89.44	35.13	/nas/FAC/FBM/DMF/pengel/general_data/D2c/datasets/NGS_data/20230227_HGMH3DMXY_Malaysia_samples_run2/RawData
D4-4	1	2.2	873	2,891,980	100	90.99	35.43	/nas/FAC/FBM/DMF/pengel/general_data/D2c/datasets/NGS_data/20230227_HGMH3DMXY_Malaysia_samples_run2/RawData
D4-2	1	2.2	885	2,931,937	100	88.02	34.85	/nas/FAC/FBM/DMF/pengel/general_data/D2c/datasets/NGS_data/20230227_HGMH3DMXY_Malaysia_samples_run2/RawData
